currency_daily_BTC_CNY (1)
timestamp,open (CNY),high (CNY),low (CNY),close (CNY),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2021-05-26,243841.03100000,259850.86250000,240505.29950000,249676.65237500,38324.72000000,40841.00000000,37800.44000000,39241.91000000,104780.77339600,104780.77339600
2021-05-25,246934.92387500,253175.13662500,231719.83225000,243841.03100000,38810.99000000,39791.77000000,36419.62000000,38324.72000000,111996.22840400,111996.22840400
2021-05-24,220660.66200000,253991.00000000,216522.23750000,246841.39512500,34681.44000000,39920.00000000,34031.00000000,38796.29000000,161630.89397100,161630.89397100
2021-05-23,238329.76987500,243496.94700000,197943.80112500,220494.02812500,37458.51000000,38270.64000000,31111.01000000,34655.25000000,217136.04659300,217136.04659300
2021-05-22,237088.06437500,247049.51250000,223963.94475000,238273.90712500,37263.35000000,38829.00000000,35200.62000000,37449.73000000,126542.24368900,126542.24368900
2021-05-21,257842.79387500,268497.50000000,213067.40000000,237015.91362500,40525.39000000,42200.00000000,33488.00000000,37252.01000000,202100.88825800,202100.88825800
2021-05-20,233320.70087500,270098.75037500,221733.12500000,257850.74700000,36671.23000000,42451.67000000,34850.00000000,40526.64000000,203017.59692300,203017.59692300
2021-05-19,272631.72525000,277308.92625000,190875.00000000,233440.69762500,42849.78000000,43584.90000000,30000.00000000,36690.09000000,354347.24316100,354347.24316100
2021-05-18,277010.65225000,291397.98262500,268815.75225000,272631.72525000,43538.02000000,45799.29000000,42250.02000000,42849.78000000,116979.86078400,116979.86078400
2021-05-17,295390.70587500,297039.67500000,267231.36250000,277010.77950000,46426.83000000,46686.00000000,42001.00000000,43538.04000000,166657.17273600,166657.17273600
2021-05-16,297529.52387500,316826.35012500,278839.04387500,295420.41875000,46762.99000000,49795.89000000,43825.39000000,46431.50000000,114269.81277500,114269.81277500
2021-05-15,317133.46800000,322578.75000000,296206.18750000,297529.52387500,49844.16000000,50700.00000000,46555.00000000,46762.99000000,89437.44935900,89437.44935900
2021-05-14,316037.59100000,327560.58750000,310488.40937500,317116.22562500,49671.92000000,51483.00000000,48799.75000000,49841.45000000,80082.20430600,80082.20430600
