,prices,market_caps,total_volumes
160,"[1631491200000, 46195.21830082935]","[1631491200000, 869122611514.091]","[1631491200000, 27585855039.22065]"
161,"[1631577600000, 45139.83396873267]","[1631577600000, 848992511473.5618]","[1631577600000, 40683028027.85497]"
162,"[1631664000000, 47135.43199562694]","[1631664000000, 886524004596.6061]","[1631664000000, 38645575965.52751]"
163,"[1631750400000, 48186.53275704722]","[1631750400000, 906727769791.0696]","[1631750400000, 30037816650.128475]"
164,"[1631836800000, 47879.47343992101]","[1631836800000, 900990520811.9348]","[1631836800000, 31578783374.768665]"
165,"[1631923200000, 47228.65821623257]","[1631923200000, 892585184977.8329]","[1631923200000, 27731209179.052345]"
166,"[1632009600000, 48266.62707279063]","[1632009600000, 907957032341.1344]","[1632009600000, 27630476157.8273]"
167,"[1632096000000, 47371.03933236471]","[1632096000000, 891560241243.0585]","[1632096000000, 26163167368.59442]"
168,"[1632182400000, 42932.94659595412]","[1632182400000, 805826302811.3501]","[1632182400000, 41220025453.5186]"
169,"[1632268800000, 40386.62363528928]","[1632268800000, 760802031650.6051]","[1632268800000, 45940419565.082825]"
170,"[1632355200000, 43587.22305058473]","[1632355200000, 820460824050.9529]","[1632355200000, 36624234960.05299]"
171,"[1632441600000, 44980.898214810935]","[1632441600000, 846615719473.8734]","[1632441600000, 33594750549.99859]"
172,"[1632528000000, 42752.1681545072]","[1632528000000, 809772498812.6799]","[1632528000000, 42973070342.650276]"
173,"[1632614400000, 42856.855164224515]","[1632614400000, 808279417023.3408]","[1632614400000, 30898116660.05655]"
174,"[1632700800000, 43336.861233242744]","[1632700800000, 825341135635.7169]","[1632700800000, 30462815705.283737]"
175,"[1632787200000, 42247.355729006355]","[1632787200000, 794889951096.439]","[1632787200000, 30483144439.45263]"
176,"[1632873600000, 41010.37519836549]","[1632873600000, 775534111089.4891]","[1632873600000, 29691944223.292786]"
177,"[1632960000000, 41587.66786232295]","[1632960000000, 782626384092.2843]","[1632960000000, 30068690311.96594]"
178,"[1633046400000, 43859.32614724109]","[1633046400000, 827840965059.6127]","[1633046400000, 30859918334.565014]"
