,prices,market_caps,total_volumes
200,"[1637020800000, 19.612749023635125]","[1637020800000, 56094084.81573373]","[1637020800000, 648889.6285050946]"
201,"[1637107200000, 20.866760162731225]","[1637107200000, 59759908.02557885]","[1637107200000, 1458054.1055067284]"
202,"[1637193600000, 21.22395480631825]","[1637193600000, 60535707.55033873]","[1637193600000, 625372.0256021852]"
203,"[1637280000000, 24.452636304659887]","[1637280000000, 70105614.84946832]","[1637280000000, 5113541.265777153]"
204,"[1637366400000, 30.704450145414754]","[1637366400000, 87989322.67438284]","[1637366400000, 5687734.508391749]"
205,"[1637452800000, 37.51837773905506]","[1637452800000, 107771373.73939072]","[1637452800000, 4825330.759871049]"
206,"[1637539200000, 32.949127914874616]","[1637539200000, 94937208.9903549]","[1637539200000, 3890804.2171163163]"
207,"[1637625600000, 28.375441052802792]","[1637625600000, 81666323.37500358]","[1637625600000, 2676025.2373010307]"
208,"[1637712000000, 26.836799205644382]","[1637712000000, 77173199.45171498]","[1637712000000, 2143262.1869664453]"
209,"[1637798400000, 26.214225889802947]","[1637798400000, 75547372.32270063]","[1637798400000, 1388531.8024453283]"
210,"[1637884800000, 26.564712328982463]","[1637884800000, 76457404.08900537]","[1637884800000, 1012473.6705166668]"
211,"[1637971200000, 21.604686394516772]","[1637971200000, 62178146.49116899]","[1637971200000, 2760782.5956734754]"
212,"[1638057600000, 21.089045461235226]","[1638057600000, 60856488.5857079]","[1638057600000, 708277.1493299411]"
213,"[1638144000000, 20.704865214509386]","[1638144000000, 59875729.651139714]","[1638144000000, 739306.0728430715]"
214,"[1638230400000, 22.684572547876268]","[1638230400000, 65406686.13653336]","[1638230400000, 1180536.6122089638]"
215,"[1638316800000, 22.132259001881955]","[1638316800000, 64363787.123806134]","[1638316800000, 1143307.8150765265]"
216,"[1638403200000, 22.790759189294434]","[1638403200000, 65889460.94661875]","[1638403200000, 2013061.1664377549]"
217,"[1638489600000, 25.490435246822493]","[1638489600000, 73374091.59256674]","[1638489600000, 1807034.8624649895]"
218,"[1638576000000, 23.877908422405568]","[1638576000000, 69411559.23230287]","[1638576000000, 1370434.2590165897]"
219,"[1638662400000, 23.58941014538475]","[1638662400000, 68437042.92245194]","[1638662400000, 2172795.4439345174]"
220,"[1638748800000, 23.60446331990549]","[1638748800000, 68403716.07994483]","[1638748800000, 860624.8032184831]"
221,"[1638835200000, 19.95838494624362]","[1638835200000, 57943888.28336796]","[1638835200000, 1354677.888401272]"
222,"[1638921600000, 19.9469813743087]","[1638921600000, 58063936.86085135]","[1638921600000, 327190.7024188877]"
223,"[1639008000000, 19.588904521442068]","[1639008000000, 57188130.86556257]","[1639008000000, 387512.3242403552]"
224,"[1639094400000, 22.317505350313947]","[1639094400000, 65083388.46591399]","[1639094400000, 2556886.7571153915]"
225,"[1639180800000, 21.302560391778574]","[1639180800000, 61641669.6321578]","[1639180800000, 2854933.2980636866]"
226,"[1639267200000, 23.94505744622248]","[1639267200000, 69060352.6154082]","[1639267200000, 2148086.6292416295]"
227,"[1639353600000, 20.171157534630083]","[1639353600000, 58664851.94571111]","[1639353600000, 1376249.833008717]"
228,"[1639440000000, 19.927084237226012]","[1639440000000, 57789083.34974935]","[1639440000000, 478616.9086853565]"
229,"[1639526400000, 19.3645586472028]","[1639526400000, 55973441.71395735]","[1639526400000, 1056559.2610399283]"
230,"[1639612800000, 19.508647676543813]","[1639612800000, 56513562.215277225]","[1639612800000, 229317.68104482294]"
231,"[1639699200000, 18.522423892719942]","[1639699200000, 53595953.64479469]","[1639699200000, 1130756.9372756463]"
232,"[1639785600000, 18.1115631969012]","[1639785600000, 52518113.40945892]","[1639785600000, 296298.28972334054]"
233,"[1639872000000, 18.250705057223804]","[1639872000000, 52918521.24410149]","[1639872000000, 473595.78969226254]"
234,"[1639958400000, 17.53299124348726]","[1639958400000, 51014856.712400585]","[1639958400000, 275901.54752219596]"
235,"[1640044800000, 16.939554802717414]","[1640044800000, 49459643.68604601]","[1640044800000, 574697.0152524216]"
236,"[1640131200000, 15.826174044357378]","[1640131200000, 46465944.256193094]","[1640131200000, 649897.5159112001]"
237,"[1640217600000, 15.938256293222626]","[1640217600000, 47533762.83631577]","[1640217600000, 1020126.4654185906]"
238,"[1640304000000, 15.960856868591605]","[1640304000000, 49257933.26690448]","[1640304000000, 254829.88743291562]"
239,"[1640390400000, 16.284961461335694]","[1640390400000, 50320611.77707958]","[1640390400000, 264746.0235931835]"
240,"[1640476800000, 16.073643344603074]","[1640476800000, 50196742.92639073]","[1640476800000, 179373.35139933505]"
241,"[1640563200000, 15.9753235190828]","[1640563200000, 49365844.350883804]","[1640563200000, 223482.17173772719]"
242,"[1640649600000, 15.292533043158812]","[1640649600000, 47256101.925676584]","[1640649600000, 1721326.3042830871]"
243,"[1640736000000, 15.004901657645052]","[1640736000000, 46445292.89669874]","[1640736000000, 257344.38087173615]"
244,"[1640822400000, 18.4282679181842]","[1640822400000, 56887314.007479966]","[1640822400000, 1931835.9749179943]"
245,"[1640908800000, 18.100660714720696]","[1640908800000, 56142270.17365374]","[1640908800000, 1287944.5550829272]"
246,"[1640995200000, 17.74507846135126]","[1640995200000, 55225592.80031853]","[1640995200000, 565495.9168389185]"
247,"[1641081600000, 17.173419523076088]","[1641081600000, 53327918.1196777]","[1641081600000, 546624.5704338733]"
248,"[1641168000000, 16.308704055488302]","[1641168000000, 50731197.38757457]","[1641168000000, 650688.9646114614]"
249,"[1641254400000, 16.3557686656441]","[1641254400000, 51473435.73660218]","[1641254400000, 657896.0088322285]"
250,"[1641340800000, 21.418005740887935]","[1641340800000, 69871475.76801082]","[1641340800000, 4631667.987681113]"
251,"[1641427200000, 18.23739437675761]","[1641427200000, 58840575.655088544]","[1641427200000, 2142468.627653925]"
252,"[1641513600000, 17.525495950109864]","[1641513600000, 56599282.41881415]","[1641513600000, 1308089.8797432014]"
253,"[1641600000000, 15.394292576019462]","[1641600000000, 51042027.37897361]","[1641600000000, 1701288.7456728173]"
254,"[1641686400000, 14.56692880323784]","[1641686400000, 48311907.562483415]","[1641686400000, 641070.8449293535]"
255,"[1641772800000, 14.790724690733875]","[1641772800000, 49032151.30065789]","[1641772800000, 613908.6853591724]"
256,"[1641859200000, 14.296704976542038]","[1641859200000, 47743916.42881288]","[1641859200000, 947545.8289179774]"
257,"[1641945600000, 14.548362880850252]","[1641945600000, 48712069.7264556]","[1641945600000, 1017912.5712884886]"
258,"[1642032000000, 14.254696106281578]","[1642032000000, 47807890.58952532]","[1642032000000, 1186782.9801119112]"
259,"[1642118400000, 14.078045191911512]","[1642118400000, 47035589.11844339]","[1642118400000, 819824.4823177186]"
260,"[1642204800000, 14.173887159818053]","[1642204800000, 47220428.56250741]","[1642204800000, 693087.3789449832]"
